episode,total_steps,adversary_team_return,prey_return,adversary_0_return,adversary_1_return,adversary_2_return,agent_0_return,train_touch_count,mean_critic_loss,mean_actor_loss,mean_actor_entropy,epsilon,eval_self_play_adversary_return,eval_self_play_prey_return,eval_adv_vs_random_prey_adversary_return,eval_adv_vs_random_prey_prey_return,eval_random_adv_vs_prey_adversary_return,eval_random_adv_vs_prey_prey_return,eval_self_play_touch_count,eval_adv_vs_random_prey_touch_count,eval_random_adv_vs_prey_touch_count
149,14900,0.0,-522.2803695569628,0.0,0.0,0.0,-522.2803695569628,0.0,0.0071500326885143295,-0.0012304000556468964,1.566293627023697,0.877375,,,,,,,,,
150,15000,0.0,-305.1781887273735,0.0,0.0,0.0,-305.1781887273735,0.0,0.009668830098235048,0.0014510294422507286,1.5660719573497772,0.87625,12.0,-636.8112982956939,6.0,-174.72554275458384,28.5,-369.04082111674717,1.2,0.6,2.85
151,15100,0.0,-282.74778792545027,0.0,0.0,0.0,-282.74778792545027,0.0,0.006680200109258294,-0.0024144835770130157,1.5629011690616608,0.8751249999999999,,,,,,,,,
152,15200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008089395050774328,-0.026210778392851353,1.5660099983215332,0.874,,,,,,,,,
153,15300,0.0,-27.595524567089694,0.0,0.0,0.0,-27.595524567089694,0.0,0.009407751465914771,-0.0029492564499378204,1.567190170288086,0.8728750000000001,,,,,,,,,
154,15400,0.0,-848.6338611857051,0.0,0.0,0.0,-848.6338611857051,0.0,0.006874066180898808,-0.0011141300201416016,1.566870927810669,0.87175,,,,,,,,,
155,15500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008356779610039666,-0.005748255643993616,1.5615799725055695,0.870625,,,,,,,,,
156,15600,60.0,-44.76026742094098,20.0,20.0,20.0,-44.76026742094098,6.0,0.0065688652684912086,-0.006962617160752416,1.560428947210312,0.8694999999999999,,,,,,,,,
157,15700,0.0,-115.96192484408355,0.0,0.0,0.0,-115.96192484408355,0.0,0.007869317298172973,-0.00818413170054555,1.5602882206439972,0.868375,,,,,,,,,
158,15800,0.0,-419.77691168634453,0.0,0.0,0.0,-419.77691168634453,0.0,0.007820048165740445,-0.003889337182044983,1.5681851208209991,0.86725,,,,,,,,,
159,15900,0.0,-458.70298620937615,0.0,0.0,0.0,-458.70298620937615,0.0,0.005065513345471118,0.014380823820829391,1.5695667266845703,0.866125,,,,,,,,,
160,16000,0.0,-99.13595090256811,0.0,0.0,0.0,-99.13595090256811,0.0,0.0039021019474603236,0.017325344495475292,1.5686929821968079,0.865,,,,,,,,,
