update,episode,total_steps,train_team_return,td_loss,grad_norm,q_tot_mean,q_tot_std,q_tot_max,target_q_tot_mean,target_q_tot_std,target_q_tot_max,epsilon,eval_team_return,eval_mean_agent_return
120,28,1390,-41.01678181354737,1.5386226177215576,27.399250030517578,21.106109619140625,7.014448165893555,39.25840377807617,20.794816970825195,5.992237567901611,34.90644073486328,0.583,,
121,28,1400,-52.49774235508378,1.817300796508789,31.10040283203125,23.09585952758789,6.604824066162109,43.57209777832031,22.2246036529541,6.715641498565674,38.25788497924805,0.58,,
122,29,1410,-6.019938818737051,3.221160888671875,47.159820556640625,24.499046325683594,7.294676303863525,46.668304443359375,22.329200744628906,8.225478172302246,37.66727066040039,0.577,,
123,29,1420,-13.180255967209224,2.346161365509033,29.49407958984375,21.596773147583008,6.3791704177856445,39.760128021240234,20.347379684448242,7.832404136657715,45.02978515625,0.5740000000000001,,
124,29,1430,-22.059273041669474,2.164294958114624,33.225372314453125,22.350557327270508,7.4010329246521,37.06569290161133,21.126073837280273,7.594000339508057,33.55348587036133,0.571,,
125,29,1440,-31.96756293898771,2.062699317932129,26.349130630493164,20.55061912536621,6.619746685028076,37.49934387207031,20.038728713989258,6.6250529289245605,34.889705657958984,0.5680000000000001,,
126,29,1450,-43.512222520094426,2.4165759086608887,37.561248779296875,20.90886688232422,7.8210835456848145,40.98335647583008,20.45332145690918,6.178341865539551,32.446250915527344,0.565,,
127,30,1460,-15.456988885707846,1.9383141994476318,24.90534782409668,21.339195251464844,6.196892738342285,40.18144226074219,21.312498092651367,5.456088542938232,35.436519622802734,0.5619999999999999,,
128,30,1470,-31.5756303725812,2.2549569606781006,41.628814697265625,21.227842330932617,6.090720176696777,38.720863342285156,21.84583854675293,5.948424339294434,33.57630157470703,0.5589999999999999,,
129,30,1480,-47.369235078207666,1.6797884702682495,40.73979949951172,19.204898834228516,5.471935272216797,41.78646469116211,20.228986740112305,5.265957832336426,44.19940948486328,0.556,,
130,30,1490,-61.8168167641275,1.4515269994735718,45.20298767089844,20.917823791503906,6.013912200927734,34.363304138183594,22.05945587158203,6.245152473449707,33.628936767578125,0.5529999999999999,,
131,30,1500,-73.18728237289416,2.1100375652313232,25.87228012084961,19.92740249633789,5.641360282897949,28.972301483154297,19.797452926635742,6.851947784423828,32.2935905456543,0.55,-90.059724928934,-90.059724928934
